Country,ISO,Currency,Exchange rate
Paraguay,PYG,Guarani,7918.878
Netherlands Antilles,ANG,Guilder,2.196
Ukraine,UAH,Hryvna,33.368
Papua New Guinea,PGK,Kina,4.255
Laos,LAK,Kip,10952.885
Koruna,CZK,Koruna,30.358
Iceland,ISK,Krona,175.182
Sweden,SEK,Krona,12.214
Denmark,DKK,Krone,8.392
Norway,NOK,Krone,12.559
Croatia,HRK,Kuna,8.579
Malawi,MWK,Kwacha,900.221
Zambia,ZMK,Kwacha,22.862
Angola,AOA,Kwanza,687.8
Myanmar (Burma),MMK,Kyat,1742.396
Georgia,GEL,Lari,3.91
Albania,ALL,Lek,19.553
Honduras,HNL,Lempira,30.505
Sierra,SLL,Leone,11729.488
Moldova,MDL,Leu,22.103
Romania,RON,Leu,5.427
Bulgaria,BGN,Lev,2.202
Swaziland,SZL,Lilangeni,22.034
Turkey,TRY,Lira,8.248
Lesotho,LSL,Loti,22.36
Seborga,SPL,Luigino,0.205
Azerbaijan,AZN,Manat,2.089
Turkmenistan,TMT,Manat,4.304
Bosnia and Herzegovina,BAM,Marka,2.202
Mozambique,MZN,Metical,82.445
Nigeria,NGN,Naira,451.258
Eritrea,ERN,Nakfa,18.439
Bhutan,BTN,Ngultrum,93.191
Mauritania,MRO,Ouguiya,31.835
Tonga,TOP,Pa'anga,2.876
Macau,MOP,Pataca,7.86
Argentina,ARS,Peso,79.369
Chile,CLP,Peso,1039.549
Colombia,COP,Peso,4708.458
Cuba,CUC,Peso,1.221
Cuba,CUP,Peso,1.221
Dominican Republic,DOP,Peso,66.044
Mexico,MXN,Peso,28.917
Philippines,PHP,Peso,62.134
Uruguay,UYU,Peso,53.059
Egypt,EGP,Pound,19.385
Falkland Islands,FKP,Pound,1.024
Gibraltar,GIP,Pound,3.91
Guernsey,GGP,Pound,1.024
Isle of Man,IMP,Pound,1.024
Jersey,JEP,Pound,1.024
Lebanon,LBP,Pound,1848.569
Saint Helena,SHP,Pound,1.024
Sudan,SDG,Pound,67.995
Syria,SYP,Pound,421.225
United Kingdom,GBP,Pound,1.024
Botswana,BWP,Pula,14.755
Guatemala,GTQ,Quetzal,9.436
South Africa,ZAR,Rand,22.142
Brazil,BRL,Real,6.279
Iran,IRR,Rial,51765.473
Oman,OMR,Rial,0.473
Yemen,YER,Rial,307.699
Cambodia,KHR,Riel,4980.111
Malaysia,MYR,Ringgit,5.299
Qatar,QAR,Riyal,4.472
Saudi Arabia,SAR,Riyal,4.63
Belarus,BYR,Ruble,3.063
Russia,RUB,Ruble,90.707
Maldives,MVR,Rufiyaa,18.932
India,INR,Rupee,93.545
Mauritius,MUR,Rupee,48.354
Nepal,NPR,Rupee,149.159
Pakistan,PKR,Rupee,205.057
Seychelles,SCR,Rupee,20.16
Sri Lanka,LKR,Rupee,233.504
Indonesia,IDR,Rupiah,19303.075
Israel,ILS,Shekel,4.393
Kenya,KES,Shilling,130.227
Somalia,SOS,Shilling,716.804
Tanzania,TZS,Shilling,2827.822
Uganda,UGX,Shilling,4625.35
Peru,PEN,Sol,4.147
Kyrgyzstan,KGS,Som,95.85
Uzbekistan,UZS,Som,11783.063
Tajikistan,TJS,Somoni,12.51
Bangladesh,BDT,Taka,103.819
Samoa,WST,Tala,3.428
Kazakhstan,KZT,Tenge,526.118
Mongolia,MNT,Tughrik,3420.925
Vanuatu,VUV,Vatu,152.922
Korea (North),KPW,Won,3196.374
Korea (South),KRW,Won,1488.995
Japan,JPY,Yen,133.254
China,CNY,Yuan Renminbi,8.658
Poland,PLN,Zloty,5.112
